incident_id,control_id,barrier_type_ps,barrier_level,lod_industry_standard,barrier_condition,barrier_role_norm,source_agency,provider_bucket,supporting_text_count,lod_numeric,pathway_sequence,total_prev_barriers_incident,total_mit_barriers_incident,total_failed_incident,total_hf_failed_incident,num_threats_in_sequence,num_threats_in_lod_numeric,flag_environmental_threat,flag_electrical_failure,flag_procedural_error,flag_mechanical_failure,y_fail,y_hf_fail,hf_contrib_binary,barrier_failed_expert,barrier_failed_human_expert,barrier_failed_rule,failed_mismatch,barrier_status,barrier_type,line_of_defense,flag_communication_breakdown,is_degradation_control,barrier_family,incident_has_threat_data
mc474-bp-11-jul-2018,C-004,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,BSEE,bsee,2,2,1,3,2,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc607-chevron-01dec2018,C-004,hardware_barrier,mitigation,Shutdown Systems,effective,isolate_shutdown,BSEE,bsee,3,2,1,1,3,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_disconnect_eds,1
mc607-chevron-01dec2018,C-005,hardware_barrier,mitigation,Process Containment,effective,contain,BSEE,bsee,3,2,1,1,3,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
mc607-chevron-01dec2018,C-007,hardware_barrier,mitigation,Detection Systems,effective,verify_inspect,BSEE,bsee,1,3,2,1,3,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,active,engineering,3rd,0,0,remote_monitoring_intervention_subsea,1
mc816-llog-02jun2019,C-002,hardware_barrier,mitigation,Process Containment,ineffective,control,BSEE,bsee,3,2,1,1,2,1,0,2,1,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,well_control_barriers_kill,1
mc816-llog-02jun2019,C-003,hardware_barrier,mitigation,Process Containment,effective,control,BSEE,bsee,2,3,2,1,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,spill_containment_environmental_mitigation,1
mp-299-fmi-22-sep-2019,C-002,hardware_barrier,mitigation,Structural Integrity,ineffective,contain,BSEE,bsee,3,2,1,2,1,3,2,1,1,1,0,0,0,1,1,1,1,1,1,0,failed,engineering,2nd,0,0,passive_fire_blast_protection,1
mp-42-l-cantium-llc-21-sept-2021,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,3,3,3,0,3,3,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
mp-42-l-cantium-llc-21-sept-2021,C-005,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,3,3,3,0,3,3,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mp-42-l-cantium-llc-21-sept-2021,C-008,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,2,3,2,3,3,3,0,3,2,1,0,1,1,0,0,1,0,0,0,0,active,engineering,3rd,0,0,active_fire_protection_firefighting,1
mp140b-fieldwood-energy-09-jun-2021,C-002,hardware_barrier,mitigation,Pressure Relief Systems,effective,other,BSEE,bsee,2,4,1,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,pressure_relief_blowdown_flare_disposal,1
mp140b-fieldwood-energy-09-jun-2021,C-003,hardware_barrier,mitigation,Structural Integrity,effective,other,BSEE,bsee,3,4,1,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,physical_protection_retention_restraints,1
mp140b-fieldwood-energy-09-jun-2021,C-004,hardware_barrier,mitigation,Structural Integrity,effective,verify_inspect,BSEE,bsee,1,4,1,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,structural_mechanical_integrity_escalation_prevention,1
mp204220d20cantium2027-apr-25,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,ineffective,other,BSEE,bsee,2,2,1,0,2,1,0,3,3,0,1,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,emergency_shutdown_isolation,1
mp204220d20cantium2027-apr-25,C-004,hardware_barrier,mitigation,Structural Integrity,effective,other,BSEE,bsee,3,2,1,0,2,1,0,3,3,0,1,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,passive_fire_blast_protection,1
murphy-exploration-mc-582-a-13-july-2022,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,1,2,1,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
murphy-exploration-mc-582-a-13-july-2022,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,1,2,1,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
panther-operating-company-mp-268-p-30-june-2022,C-004,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,1,3,1,0,3,3,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
panther-operating-company-mp-268-p-30-june-2022,C-005,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,3,1,0,3,3,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
panther-operating-company-mp-268-p-30-june-2022,C-006,hardware_barrier,mitigation,Detection Systems,effective,contain,BSEE,bsee,1,3,2,1,3,1,0,3,3,0,0,1,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,remote_monitoring_intervention_subsea,1
pl-23-talos-energy-offshore-llc-23-sept-2021,C-002,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,2,1,1,2,1,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,active,engineering,1st,0,0,emergency_shutdown_isolation,1
pl23-talos-energy-29-feb-2016,C-001,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,5,2,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
pl23-talos-energy-29-feb-2016,C-002,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,5,2,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
pl5-talos-25-jun-2018,C-001,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
pl5-talos-25-jun-2018,C-006,hardware_barrier,mitigation,Alarm and Operator Response,effective,verify_inspect,BSEE,bsee,1,2,1,0,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
pl5-talos-25-jun-2018,C-007,hardware_barrier,mitigation,Other,effective,other,BSEE,bsee,1,3,2,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,active,engineering,3rd,0,0,other_mit_engineering,1
shell-mc-940-8-may-2022,C-002,hardware_barrier,mitigation,Detection Systems,degraded,isolate_shutdown,BSEE,bsee,1,2,1,1,3,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,degraded,engineering,2nd,0,0,remote_monitoring_intervention_subsea,1
shell-mc-940-8-may-2022,C-003,hardware_barrier,mitigation,Detection Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,3,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,remote_monitoring_intervention_subsea,1
shell-mc-940-8-may-2022,C-005,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,2,2,1,1,3,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
sm-130-talos-20-may-2019,C-002,hardware_barrier,mitigation,Structural Integrity,ineffective,other,BSEE,bsee,3,2,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,physical_protection_retention_restraints,1
sm-27-sea-robin-pipeline-5-dec-2014,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,2,1,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
sm20128b_arena_16-jan-2024_ev2010r,C-004,hardware_barrier,mitigation,Alarm and Operator Response,effective,alert_alarm,BSEE,bsee,2,4,1,2,3,1,0,5,5,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,1,0,alarms_general_alarm_pa,1
sm20128b_arena_16-jan-2024_ev2010r,C-005,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,2,4,1,2,3,1,0,5,5,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,1,0,emergency_shutdown_isolation,1
sm20128b_arena_16-jan-2024_ev2010r,C-006,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,2,4,1,2,3,1,0,5,5,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,1,0,active_fire_protection_firefighting,1
sm20130b_talos_15-dec-2023_ev2010r,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,1,1,1,2,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,active,engineering,1st,0,0,emergency_shutdown_isolation,1
sm20130b_talos_15-dec-2023_ev2010r,C-004,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,1,2,2,1,2,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,active_fire_protection_firefighting,1
sp202820whitney202021-sep-2023,C-001,hardware_barrier,mitigation,Other,degraded,isolate_shutdown,BSEE,bsee,1,2,1,1,3,2,0,1,1,0,0,0,1,1,0,0,1,0,0,1,degraded,engineering,2nd,0,0,other_mit_engineering,1
sp202820whitney202021-sep-2023,C-005,hardware_barrier,mitigation,Process Containment,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
sp202820whitney202021-sep-2023,C-006,hardware_barrier,mitigation,Alarm and Operator Response,effective,maintain_integrity,BSEE,bsee,1,3,2,1,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,gas_detection_atmospheric_monitoring,1
sp2062-c20gom20shelf202003-nov-2025,C-002,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,BSEE,bsee,1,2,1,0,2,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
sp2062-c20gom20shelf202003-nov-2025,C-003,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,0,2,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
ss-193-fieldwood-07-may-2022,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,3,2,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
ss-193-fieldwood-07-may-2022,C-005,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,1,3,2,3,2,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,active_fire_protection_firefighting,1
ss-224-d-ert-23-feb-2018,C-002,hardware_barrier,mitigation,Safety Instrumented Systems,ineffective,detect,BSEE,bsee,2,2,1,1,2,2,1,2,2,1,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,emergency_shutdown_isolation,1
ss-224-d-ert-23-feb-2018,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,4,2,1,2,2,1,2,2,1,0,0,1,0,0,1,0,0,0,0,active,engineering,recovery,0,0,emergency_shutdown_isolation,1
ss-72-petroquest-05-nov-2014,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,2,1,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
ss154-ridgelake-23-dec-2016,C-004,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,1,4,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,active,engineering,recovery,0,0,active_fire_protection_firefighting,1
ss208020w26t2007-mar-2025,C-008,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,3,4,1,3,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,active,engineering,recovery,0,0,active_fire_protection_firefighting,1
st-28-energy-xxi-oct-11-2017,C-001,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,1,2,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
st-28-energy-xxi-oct-11-2017,C-002,hardware_barrier,mitigation,Alarm and Operator Response,effective,alert_alarm,BSEE,bsee,2,2,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,alarms_general_alarm_pa,1
st-331-23jan2020-redacted-2010-v2,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,4,1,3,4,4,1,2,2,0,0,0,1,0,0,1,0,0,0,0,active,engineering,recovery,1,0,emergency_shutdown_isolation,1
st-331-23jan2020-redacted-2010-v2,C-005,hardware_barrier,mitigation,Alarm and Operator Response,effective,alert_alarm,BSEE,bsee,1,4,1,3,4,4,1,2,2,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,1,0,alarms_general_alarm_pa,1
st-331-23jan2020-redacted-2010-v2,C-006,hardware_barrier,mitigation,Protection Systems,ineffective,suppress_extinguish,BSEE,bsee,2,4,1,3,4,4,1,2,2,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,recovery,1,0,active_fire_protection_firefighting,1
st-331-23jan2020-redacted-2010-v2,C-007,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,1,4,1,3,4,4,1,2,2,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,1,0,active_fire_protection_firefighting,1
st311-walter-04sept2018,C-007,hardware_barrier,mitigation,Detection Systems,effective,maintain_integrity,BSEE,bsee,2,1,1,2,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,1st,0,0,remote_monitoring_intervention_subsea,1
vk-915-anadarko-22-jan-2018,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,ineffective,contain,BSEE,bsee,2,2,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,emergency_shutdown_isolation,1
vk-965-talos-21-nov-2020,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,2,2,1,0,2,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
vk-965-talos-21-nov-2020,C-004,hardware_barrier,mitigation,Structural Integrity,effective,contain,BSEE,bsee,2,4,2,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,physical_protection_retention_restraints,1
vk2098920a20talos2002-dec-2024,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,other,BSEE,bsee,1,1,1,2,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,active,engineering,1st,0,0,emergency_shutdown_isolation,1
vr20170a20gulf20offshore2011-aug-2024,C-008,hardware_barrier,mitigation,Safety Instrumented Systems,effective,other,BSEE,bsee,2,3,2,2,3,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,emergency_shutdown_isolation,1
vr20170a20gulf20offshore2011-aug-2024,C-009,hardware_barrier,mitigation,Pressure Relief Systems,effective,pressure_relief,BSEE,bsee,2,2,1,2,3,2,1,2,3,1,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,pressure_relief_blowdown_flare_disposal,1
vr20170a20gulf20offshore2011-aug-2024,C-010,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,3,4,3,2,3,2,1,2,2,1,0,0,1,0,0,1,0,0,0,0,active,engineering,recovery,0,0,active_fire_protection_firefighting,1
vr20369-a20renaissance2004-apr-2024,C-007,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
wd-105e-fieldwood-energy-29-nov-2020,C-005,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,1,4,1,2,2,1,0,4,4,0,0,1,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,emergency_shutdown_isolation,1
wd-105e-fieldwood-energy-29-nov-2020,C-006,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,2,4,1,2,2,1,0,4,4,0,0,1,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,active_fire_protection_firefighting,1
wd-133-9-sep-18,C-002,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,1,2,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
wd-133-9-sep-18,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
wd-133-9-sep-18,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
wd-30p-cox-operating-09-jan-2021,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,3,2,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
wd-30p-cox-operating-09-jan-2021,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
wd-30p-cox-operating-09-jan-2021,C-005,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
wd-32-energy-xxi-21-sep-2016,C-002,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,BSEE,bsee,2,2,1,3,1,4,0,2,2,1,0,0,0,1,0,0,1,0,1,0,not_installed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
wd207320cox2017-feb-2023,C-005,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,2,2,1,0,5,5,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
wd207320cox2017-feb-2023,C-007,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,2,2,1,0,5,5,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
wd209020apache202021-apr-2025,C-009,hardware_barrier,mitigation,Process Containment,effective,isolate_shutdown,BSEE,bsee,2,4,1,3,2,3,2,2,2,0,0,0,1,0,0,1,0,0,0,0,active,engineering,recovery,0,0,well_control_barriers_kill,1
wd209020apache202021-apr-2025,C-010,hardware_barrier,mitigation,Process Containment,effective,contain,BSEE,bsee,1,4,1,3,2,3,2,2,2,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,spill_containment_environmental_mitigation,1
woodside-energy-eb-699-16-nov-2022-redacted,C-004,hardware_barrier,mitigation,Pressure Relief Systems,ineffective,contain,BSEE,bsee,4,3,1,3,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,failed,engineering,3rd,0,0,pressure_relief_blowdown_flare_disposal,1
wr-508-shell-11-dec-2014,C-006,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,3,2,1,2,1,2,1,3,3,0,0,1,1,0,0,1,0,0,0,0,active,engineering,2nd,1,0,gas_detection_atmospheric_monitoring,1
wr-578-marathon-oil-27-oct-2014,C-002,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,1,6,0,0,4,3,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
wr-578-marathon-oil-27-oct-2014,C-004,hardware_barrier,mitigation,Process Containment,effective,verify_inspect,BSEE,bsee,2,3,2,1,6,0,0,4,2,1,0,1,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,spill_containment_environmental_mitigation,1
wr-578-marathon-oil-27-oct-2014,C-005,hardware_barrier,mitigation,Other,effective,verify_inspect,BSEE,bsee,1,3,2,1,6,0,0,4,2,1,0,1,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,other_mit_engineering,1
wr-578-marathon-oil-27-oct-2014,C-006,hardware_barrier,mitigation,Process Containment,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,6,0,0,4,3,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
wr-578-marathon-oil-27-oct-2014,C-007,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,1,6,0,0,4,3,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
wr-578-marathon-oil-27-oct-2014,C-009,hardware_barrier,mitigation,Alarm and Operator Response,effective,verify_inspect,BSEE,bsee,1,3,2,1,6,0,0,4,2,1,0,1,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,gas_detection_atmospheric_monitoring,1
wr51-anadarko-08aug2015,C-004,hardware_barrier,mitigation,Other,effective,maintain_integrity,BSEE,bsee,1,4,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,other_mit_engineering,1
wr551-shell-26-nov-2016,C-001,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
ab-specialty-silicones-llc,C-005,hardware_barrier,mitigation,Safety Instrumented Systems,ineffective,other,CSB,csb,2,2,1,0,3,1,1,2,2,1,0,0,0,0,0,0,0,0,1,1,not_installed,engineering,2nd,0,0,emergency_shutdown_isolation,1
ab-specialty-silicones-llc,C-006,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,CSB,csb,4,2,1,0,3,1,1,2,2,1,0,0,0,0,0,0,0,0,1,1,not_installed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
ab-specialty-silicones-llc,C-009,hardware_barrier,mitigation,Other,degraded,other,CSB,csb,3,2,1,0,3,1,1,2,2,1,0,0,0,1,1,1,1,1,0,1,degraded,engineering,2nd,0,0,control_room_habitability_hvac_pressurization,1
aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-,C-003,hardware_barrier,mitigation,Other,degraded,other,CSB,csb,4,2,1,0,2,2,0,2,2,0,1,1,0,1,0,0,1,0,0,1,degraded,engineering,2nd,0,0,control_room_habitability_hvac_pressurization,1
aghorn-operating-inc-waterflood-station-hydrogen-sulfide-release-,C-004,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,CSB,csb,3,2,1,0,2,2,0,2,2,0,1,1,0,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
airgas-facility-fatal-explosion-,C-004,hardware_barrier,mitigation,Protection Systems,effective,other,CSB,csb,1,2,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,active_fire_protection_firefighting,1
al-solutions-fatal-dust-explosion,C-003,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,CSB,csb,2,2,1,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,1,0,active_fire_protection_firefighting,1
arkema-inc-chemical-plant-fire-,C-010,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,CSB,csb,2,2,1,4,1,4,1,2,4,1,0,0,0,0,0,1,0,0,0,0,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
bio-lab-conyers-chemical-release-,C-003,hardware_barrier,mitigation,Protection Systems,ineffective,suppress_extinguish,CSB,csb,7,2,1,2,5,7,2,5,5,1,1,0,1,1,1,1,1,1,1,0,failed,engineering,2nd,0,0,active_fire_protection_firefighting,1
bio-lab-conyers-chemical-release-,C-004,hardware_barrier,mitigation,Other,ineffective,protect,CSB,csb,3,2,1,2,5,7,2,5,5,1,1,0,1,1,0,0,1,0,1,0,not_installed,engineering,2nd,0,0,emergency_power_backup_utilities,1
bio-lab-conyers-chemical-release-,C-005,hardware_barrier,mitigation,Other,degraded,protect,CSB,csb,5,2,1,2,5,7,2,5,5,1,1,0,1,1,1,1,1,1,0,1,degraded,engineering,2nd,0,0,emergency_power_backup_utilities,1
bio-lab-conyers-chemical-release-,C-006,hardware_barrier,mitigation,Protection Systems,ineffective,suppress_extinguish,CSB,csb,3,2,1,2,5,7,2,5,5,1,1,0,1,1,0,0,1,0,1,0,not_installed,engineering,2nd,0,0,active_fire_protection_firefighting,1
bio-lab-conyers-chemical-release-,C-009,hardware_barrier,mitigation,Protection Systems,ineffective,suppress_extinguish,CSB,csb,2,2,1,2,5,7,2,5,5,1,1,0,1,1,0,0,1,0,1,0,not_installed,engineering,2nd,0,0,active_fire_protection_firefighting,1
bio-lab-lake-charles-chemical-fire-and-release-,C-004,hardware_barrier,mitigation,Protection Systems,ineffective,suppress_extinguish,CSB,csb,4,2,1,1,4,4,1,2,2,1,0,0,0,1,1,0,1,1,1,0,failed,engineering,2nd,0,0,active_fire_protection_firefighting,1
bio-lab-lake-charles-chemical-fire-and-release-,C-005,hardware_barrier,mitigation,Protection Systems,degraded,suppress_extinguish,CSB,csb,4,2,1,1,4,4,1,2,2,1,0,0,0,1,0,0,1,0,0,1,degraded,engineering,2nd,0,0,active_fire_protection_firefighting,1
bio-lab-lake-charles-chemical-fire-and-release-,C-007,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,suppress_extinguish,CSB,csb,3,2,1,1,4,4,1,2,2,1,0,0,0,0,0,0,0,0,1,1,not_installed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
