incident_id,incident_embed_text,top_event,incident_type,operating_phase,materials,region,operator,summary,recommendations,pif_tags_json
mc2054720llog2024-dec-2023,"Top Event: Fire on rental air compressor
Incident Type: Fire
Operating Phase: production
Materials: crude oil, natural gas, compressed air, oil separator fluid
Summary: On 24 December 2023 at 0743 hours, a fire occurred on a rental air compressor being used for painting and blasting operations on the FPU 'Who Dat' in MC 547 A, approximately 39 miles offshore in 3280 feet of water. The fire was caused by failure of a 90° elbow on the oil separator piping, which allowed oil to spray into the enclosure and ignite on hot surfaces. The platform's fire detection system and Emergency Shut Down system functioned as designed. The fire was safely extinguished by the platform's Fire Team using water. No injuries, environmental impact, or platform damage occurred. Damage was limited to the rental air compressor and minor charring of adjacent generator enclosure wiring. Cost of repairs/replacement: $31,969.09.
Recommendations:
N/A
Performance-Influencing Factor Notes:
effective
effective
effective
effective
effective
effective
effective
effective",Fire on rental air compressor,Fire,production,"[""crude oil"", ""natural gas"", ""compressed air"", ""oil separator fluid""]","Gulf of Mexico, Mississippi Canyon Block 547","LLOG Exploration Offshore, L.L.C.","On 24 December 2023 at 0743 hours, a fire occurred on a rental air compressor being used for painting and blasting operations on the FPU 'Who Dat' in MC 547 A, approximately 39 miles offshore in 3280 feet of water. The fire was caused by failure of a 90° elbow on the oil separator piping, which allowed oil to spray into the enclosure and ignite on hot surfaces. The platform's fire detection system and Emergency Shut Down system functioned as designed. The fire was safely extinguished by the platform's Fire Team using water. No injuries, environmental impact, or platform damage occurred. Damage was limited to the rental air compressor and minor charring of adjacent generator enclosure wiring. Cost of repairs/replacement: $31,969.09.",[],null
mc20807-b20shell2006-jan-2023,"Top Event: Loss of Containment - Subsea Well Leak
Incident Type: pollution
Operating Phase: production
Materials: hydraulic fluid, methanol, calcium bromide completion brine, synthetic based oil
Summary: On January 6, 2023, at 13:00 hours, Shell Offshore Inc. experienced a pollution event at Mississippi Canyon 943 where subsea well PN003-ST2-BP1 released approximately 16.61 barrels of fluid mixture (hydraulic fluid, methanol, calcium bromide completion brine, and synthetic based oil) to the environment. The leak originated from loss of integrity in the Surface-Controlled Subsurface Safety Valve (SCSSV) control lines, with fluid being released through the High Pressure vent on the subsea tree. The leak was detected and stopped by closing control valves SV1 and SV2 via ROV. The well was secured with 2 barriers and remains shut in with continuous pressure monitoring.
Recommendations:
Tubing to be pulled and analyzed to identify specific causes of failure
New tubing to be re-run before bringing well back online
BSEE to engage with Shell's analysis to inform policy and procedure to prevent future reoccurrence
Performance-Influencing Factor Notes:
N/A",Loss of Containment - Subsea Well Leak,pollution,production,"[""hydraulic fluid"", ""methanol"", ""calcium bromide completion brine"", ""synthetic based oil""]",Gulf of Mexico,Shell Offshore Inc.,"On January 6, 2023, at 13:00 hours, Shell Offshore Inc. experienced a pollution event at Mississippi Canyon 943 where subsea well PN003-ST2-BP1 released approximately 16.61 barrels of fluid mixture (hydraulic fluid, methanol, calcium bromide completion brine, and synthetic based oil) to the environment. The leak originated from loss of integrity in the Surface-Controlled Subsurface Safety Valve (SCSSV) control lines, with fluid being released through the High Pressure vent on the subsea tree. The leak was detected and stopped by closing control valves SV1 and SV2 via ROV. The well was secured with 2 barriers and remains shut in with continuous pressure monitoring.","[""Tubing to be pulled and analyzed to identify specific causes of failure"", ""New tubing to be re-run before bringing well back online"", ""BSEE to engage with Shell's analysis to inform policy and procedure to prevent future reoccurrence""]",null
mc20941-a20equinor2010-may-2023,"Top Event: Loss of Containment - Hydrocarbon Release
Incident Type: hydrocarbon release
Operating Phase: production
Materials: hydrocarbon fluid
Summary: On 10 May 2023 at approximately 0930 hours, two workers employed by Grand Isle Shipyard were removing bolts from a flange on a 2-inch Well Equalization Header line during a scheduled shut-in at MC 941 Platform A (Titan). As the workers loosened the last bolt, trapped pressure within the line escaped and sprayed the two workers in the face with a small amount of hydrocarbon fluid. The release activated a nearby gas detector, sounding the platform alarm. No injuries, pollution, or equipment damage occurred. The incident was caused by oversight of residual fluids and trapped pressure in a dog-leg bend above the flange during the isolation process.
Recommendations:
Review isolations to look for any possibility of hydrocarbon release from dog-legs or dead-legs due to residual fluid static pressure remaining after lockout/tagout is completed, even if zero pressure is indicated on the gauge
Implement engineering controls for residual fluids or static pressure release
Ensure personnel review isolations for potential hydrocarbon release from dog-legs or dead-legs even if gauge indicates zero pressure
Performance-Influencing Factor Notes:
deficient
deficient
deficient
deficient",Loss of Containment - Hydrocarbon Release,hydrocarbon release,production,"[""hydrocarbon fluid""]",Gulf of Mexico - Mississippi Canyon Block 941,Equinor USA E&P Inc.,"On 10 May 2023 at approximately 0930 hours, two workers employed by Grand Isle Shipyard were removing bolts from a flange on a 2-inch Well Equalization Header line during a scheduled shut-in at MC 941 Platform A (Titan). As the workers loosened the last bolt, trapped pressure within the line escaped and sprayed the two workers in the face with a small amount of hydrocarbon fluid. The release activated a nearby gas detector, sounding the platform alarm. No injuries, pollution, or equipment damage occurred. The incident was caused by oversight of residual fluids and trapped pressure in a dog-leg bend above the flange during the isolation process.","[""Review isolations to look for any possibility of hydrocarbon release from dog-legs or dead-legs due to residual fluid static pressure remaining after lockout/tagout is completed, even if zero pressure is indicated on the gauge"", ""Implement engineering controls for residual fluids or static pressure release"", ""Ensure personnel review isolations for potential hydrocarbon release from dog-legs or dead-legs even if gauge indicates zero pressure""]",null
mc474-bp-11-jul-2018,"Top Event: Loss of Containment - Subsea MEG Leak
Incident Type: Leak
Operating Phase: production
Materials: Mono Ethylene Glycol (MEG)
Summary: On July 11, 2018, at 1200 hours, an estimated 17,098 gallons of Mono Ethylene Glycol (MEG) was discharged subsea from the Na Kika Platform (MC 474-A) following repair work on PZZ 2591/92 MEG pumps. The leak occurred through leaking Automatic Operated Valve (AOV) and Shut Down Valve (SDV) into the EA2 umbilical circuit. The leak went undetected for approximately 4 days (July 11-15, 2018) due to subsea location and pollutant dissipation before reaching the surface. The incident resulted in an unauthorized discharge violation and failure to notify BSEE.
Recommendations:
Perform survey to determine whether any other out-of-service (OOS) lines should be positively isolated or documented
Positively isolate the EA-2 MEG line
Consider removing SDV from Sempcheck and safe charts
Include topsides interfaces for hydraulics, chemical services, and HMI in well P&A plans
Confirm no metallurgy issues for other subsea kit currently in service
Consider monitoring methods for earlier detection including real-time unallocated MEG calculation displayed on HMI
Survey existing services shared with multiple wells for passing AOVs and SDVs and ensure proper labeling and recording
Performance-Influencing Factor Notes:
positive
negative
negative
negative",Loss of Containment - Subsea MEG Leak,Leak,production,"[""Mono Ethylene Glycol (MEG)""]",Gulf of Mexico,BP Exploration & Production Inc.,"On July 11, 2018, at 1200 hours, an estimated 17,098 gallons of Mono Ethylene Glycol (MEG) was discharged subsea from the Na Kika Platform (MC 474-A) following repair work on PZZ 2591/92 MEG pumps. The leak occurred through leaking Automatic Operated Valve (AOV) and Shut Down Valve (SDV) into the EA2 umbilical circuit. The leak went undetected for approximately 4 days (July 11-15, 2018) due to subsea location and pollutant dissipation before reaching the surface. The incident resulted in an unauthorized discharge violation and failure to notify BSEE.","[""Perform survey to determine whether any other out-of-service (OOS) lines should be positively isolated or documented"", ""Positively isolate the EA-2 MEG line"", ""Consider removing SDV from Sempcheck and safe charts"", ""Include topsides interfaces for hydraulics, chemical services, and HMI in well P&A plans"", ""Confirm no metallurgy issues for other subsea kit currently in service"", ""Consider monitoring methods for earlier detection including real-time unallocated MEG calculation displayed on HMI"", ""Survey existing services shared with multiple wells for passing AOVs and SDVs and ensure proper labeling and recording""]","{""work"": [""procedures"", ""tools_equipment""], ""organisation"": [""management_of_change""]}"
mc607-chevron-01dec2018,"Top Event: Loss of Containment - Drilling Fluid Release
Incident Type: pollution
Operating Phase: drilling
Materials: Synthetic Oil-Based Mud (SBM)
Summary: On 1-Dec-2018 at 03:35 hours, the drillship Pacific Sharav experienced extreme unexpected changes in wind speed and direction due to strong thunderstorms in Mississippi Canyon Block 607, causing a forced vessel excursion. The vessel crossed the Dynamic Positioning Red Alert threshold at 03:38 hours. At 03:39 hours, the Senior Toolpusher manually activated the Emergency Disconnect Sequence (EDS-3), which actuated the Blowout Preventer Casing Shear Rams and sheared the drill pipe. The LMRP was disconnected from the BOP at 03:40 hours, resulting in the release of 1,673 barrels of Synthetic Oil-Based Mud into Gulf of Mexico waters. The well was secured with no indication of flow verified by ROV at 06:18 hours.
Recommendations:
N/A
Performance-Influencing Factor Notes:
N/A",Loss of Containment - Drilling Fluid Release,pollution,drilling,"[""Synthetic Oil-Based Mud (SBM)""]",Gulf of Mexico,Chevron U.S.A. Inc.,"On 1-Dec-2018 at 03:35 hours, the drillship Pacific Sharav experienced extreme unexpected changes in wind speed and direction due to strong thunderstorms in Mississippi Canyon Block 607, causing a forced vessel excursion. The vessel crossed the Dynamic Positioning Red Alert threshold at 03:38 hours. At 03:39 hours, the Senior Toolpusher manually activated the Emergency Disconnect Sequence (EDS-3), which actuated the Blowout Preventer Casing Shear Rams and sheared the drill pipe. The LMRP was disconnected from the BOP at 03:40 hours, resulting in the release of 1,673 barrels of Synthetic Oil-Based Mud into Gulf of Mexico waters. The well was secured with no indication of flow verified by ROV at 06:18 hours.",[],null
mc736-noble-16-may-2018,"Top Event: Unauthorized discharge of pollutants into offshore waters
Incident Type: pollution
Operating Phase: production
Materials: crude oil, methanol, Low-Dose Hydrate Inhibitor (LDHI), produced water
Summary: On May 16, 2018, a pollution event occurred at Noble Energy's Mississippi Canyon 736 A (Thunder Hawk) Platform in the Gulf of Mexico. The incident involved the discharge of approximately 14.77 barrels of oil from the facility's overboard water line. The pollution event was preceded by three separate shut-in and start-up events between May 13-16, 2018. During production ramp-ups, operators pumped methanol and hydrate inhibitor into flowlines, which increased demand on the overboard water treatment system. Level control issues in process vessels, combined with inadequate operational procedures for handling increased water production (6,000 BPD increase since end of 2017), resulted in oily water discharge. The root cause was identified as inadequate Management of Change procedures and inadequate operational procedures for well start-up sequences.
Recommendations:
Update start-up procedures and quality control checks to ensure proper sequencing of subsea well ramp-ups to account for large volumes of chemicals
Increase communication between offshore operations and onshore production leadership
Review and revise produced water handling system procedures to account for increased water production
Implement proper sequencing of well startups from unplanned shutdowns
Performance-Influencing Factor Notes:
inadequate
inadequate
inadequate
degraded
inadequate
inadequate",Unauthorized discharge of pollutants into offshore waters,pollution,production,"[""crude oil"", ""methanol"", ""Low-Dose Hydrate Inhibitor (LDHI)"", ""produced water""]",Gulf of Mexico,"Noble Energy, Inc.","On May 16, 2018, a pollution event occurred at Noble Energy's Mississippi Canyon 736 A (Thunder Hawk) Platform in the Gulf of Mexico. The incident involved the discharge of approximately 14.77 barrels of oil from the facility's overboard water line. The pollution event was preceded by three separate shut-in and start-up events between May 13-16, 2018. During production ramp-ups, operators pumped methanol and hydrate inhibitor into flowlines, which increased demand on the overboard water treatment system. Level control issues in process vessels, combined with inadequate operational procedures for handling increased water production (6,000 BPD increase since end of 2017), resulted in oily water discharge. The root cause was identified as inadequate Management of Change procedures and inadequate operational procedures for well start-up sequences.","[""Update start-up procedures and quality control checks to ensure proper sequencing of subsea well ramp-ups to account for large volumes of chemicals"", ""Increase communication between offshore operations and onshore production leadership"", ""Review and revise produced water handling system procedures to account for increased water production"", ""Implement proper sequencing of well startups from unplanned shutdowns""]",null
mc778-bp-exploration-07-jun-2021,"Top Event: Loss of Containment - Hydrocarbon Release
Incident Type: pollution
Operating Phase: production
Materials: hydrocarbons, produced water
Summary: A pollution event occurred on 7 June 2021 at Thunder Horse platform (MC 778 A) when attempting to bring the S5 well online from a long-term shut-in. During well unloading operations using dual Float Cell (FC) operations, the liquid rate exceeded the capacity of FC 1 and FC 2, resulting in produced water issues. An estimated 4 barrels of hydrocarbons were released into the Gulf of Mexico through the produced water outfall from 7 June to 10 June 2021.
Recommendations:
Reduce liquid rate at the beginning of ramp up to a slower pace to improve well unloading and maintain manageable Float Cell capacity
Performance-Influencing Factor Notes:
N/A",Loss of Containment - Hydrocarbon Release,pollution,production,"[""hydrocarbons"", ""produced water""]",Gulf of Mexico,BP Exploration & Production Inc.,"A pollution event occurred on 7 June 2021 at Thunder Horse platform (MC 778 A) when attempting to bring the S5 well online from a long-term shut-in. During well unloading operations using dual Float Cell (FC) operations, the liquid rate exceeded the capacity of FC 1 and FC 2, resulting in produced water issues. An estimated 4 barrels of hydrocarbons were released into the Gulf of Mexico through the produced water outfall from 7 June to 10 June 2021.","[""Reduce liquid rate at the beginning of ramp up to a slower pace to improve well unloading and maintain manageable Float Cell capacity""]",null
mc816-llog-02jun2019,"Top Event: Loss of Containment - Well Control Event
Incident Type: pollution
Operating Phase: drilling
Materials: Synthetic Oil-Based Mud (SBM), natural gas
Summary: On June 2, 2019 at 14:30 hours, the Seadrill West Capricorn Semi-Submersible Drilling Rig encountered a well control event while drilling the Taggert #3 Well in Mississippi Canyon Block 816. The drill crew observed increased return flow with increased gas at the surface (max gas=1386 units). After closing the BOP upper annular and diverter bag, approximately 4 barrels of Synthetic Oil-Based Mud (SBM) were diverted to the Gulf of Mexico waters. No injuries occurred. The probable cause was inadequate mud weight to balance pore pressure in the newly drilled hole section.
Recommendations:
BSEE New Orleans District made no recommendations to the Office of Incident Investigation
Performance-Influencing Factor Notes:
N/A",Loss of Containment - Well Control Event,pollution,drilling,"[""Synthetic Oil-Based Mud (SBM)"", ""natural gas""]",Gulf of Mexico,"LLOG Exploration Offshore, L.L.C.","On June 2, 2019 at 14:30 hours, the Seadrill West Capricorn Semi-Submersible Drilling Rig encountered a well control event while drilling the Taggert #3 Well in Mississippi Canyon Block 816. The drill crew observed increased return flow with increased gas at the surface (max gas=1386 units). After closing the BOP upper annular and diverter bag, approximately 4 barrels of Synthetic Oil-Based Mud (SBM) were diverted to the Gulf of Mexico waters. No injuries occurred. The probable cause was inadequate mud weight to balance pore pressure in the newly drilled hole section.","[""BSEE New Orleans District made no recommendations to the Office of Incident Investigation""]",null
mgpi-processing-inc-toxic-chemical-release-,"Top Event: Inadvertent mixing of sulfuric acid and sodium hypochlorite resulting in chlorine gas release
Incident Type: Chemical reaction and toxic gas release
Operating Phase: chemical unloading
Materials: sulfuric acid (30%), sodium hypochlorite (12.5%), propylene oxide, sodium hydroxide, acetic anhydride
Summary: On October 21, 2016, at approximately 7:35 AM, a Harcros Chemicals cargo tank motor vehicle arrived at MGPI Processing facility in Atchison, Kansas to deliver 30% sulfuric acid. During unloading operations, the driver inadvertently connected the sulfuric acid discharge hose to the unsecured sodium hypochlorite fill line instead of the sulfuric acid fill line. Approximately 4,000 gallons of sulfuric acid mixed with 5,850 gallons of sodium hypochlorite in the bulk tank, initiating a highly exothermic reaction that produced a greenish-yellow toxic gas cloud containing chlorine and other compounds. The cloud migrated northeast from the facility, impacting workers onsite and community members. Over 140 individuals sought medical attention; one MGPI employee and five community members were hospitalized. The incident was mitigated by emergency responders closing the cargo tank discharge valve and activating the facility's deluge system.
Recommendations:
Design chemical transfer equipment with physical separation between incompatible fill lines
Implement uniquely shaped and color-coded hose couplings for each chemical or class of chemicals
Install automated or remote emergency shut-off systems for chemical unloading operations
Improve pipe markings and labeling to clearly identify chemical lines
Enhance chemical unloading procedures to include verification steps and secondary confirmation
Ensure emergency escape respirator face pieces are stored in readily accessible locations
Conduct comprehensive process hazard analysis (PHA) considering human factors
Implement management of change procedures for equipment modifications
Provide training to drivers and operators on chemical incompatibilities and safe unloading practices
Establish communication protocols between facility operators and delivery drivers
Performance-Influencing Factor Notes:
medium
low
low
medium
low
medium
low
low
medium",Inadvertent mixing of sulfuric acid and sodium hypochlorite resulting in chlorine gas release,Chemical reaction and toxic gas release,chemical unloading,"[""sulfuric acid (30%)"", ""sodium hypochlorite (12.5%)"", ""propylene oxide"", ""sodium hydroxide"", ""acetic anhydride""]","Atchison, Kansas, USA","MGPI Processing, Inc.","On October 21, 2016, at approximately 7:35 AM, a Harcros Chemicals cargo tank motor vehicle arrived at MGPI Processing facility in Atchison, Kansas to deliver 30% sulfuric acid. During unloading operations, the driver inadvertently connected the sulfuric acid discharge hose to the unsecured sodium hypochlorite fill line instead of the sulfuric acid fill line. Approximately 4,000 gallons of sulfuric acid mixed with 5,850 gallons of sodium hypochlorite in the bulk tank, initiating a highly exothermic reaction that produced a greenish-yellow toxic gas cloud containing chlorine and other compounds. The cloud migrated northeast from the facility, impacting workers onsite and community members. Over 140 individuals sought medical attention; one MGPI employee and five community members were hospitalized. The incident was mitigated by emergency responders closing the cargo tank discharge valve and activating the facility's deluge system.","[""Design chemical transfer equipment with physical separation between incompatible fill lines"", ""Implement uniquely shaped and color-coded hose couplings for each chemical or class of chemicals"", ""Install automated or remote emergency shut-off systems for chemical unloading operations"", ""Improve pipe markings and labeling to clearly identify chemical lines"", ""Enhance chemical unloading procedures to include verification steps and secondary confirmation"", ""Ensure emergency escape respirator face pieces are stored in readily accessible locations"", ""Conduct comprehensive process hazard analysis (PHA) considering human factors"", ""Implement management of change procedures for equipment modifications"", ""Provide training to drivers and operators on chemical incompatibilities and safe unloading practices"", ""Establish communication protocols between facility operators and delivery drivers""]",null
midland-resource-recovery-explosion-,"Top Event: Explosion of pressurized vessel during chemical treatment and draining operations
Incident Type: Reactive chemical explosion
Operating Phase: decommissioning and chemical treatment
Materials: mercaptan (tert-butyl mercaptan, ethyl methyl sulfide), sodium hypochlorite, natural gas, aluminum, methanol, hydrogen gas
Summary: Two explosions occurred at Midland Resource Recovery facility in Philippi, West Virginia on May 24, 2017 and June 20, 2017. The May 24 incident killed two workers (including company founder/president) and severely injured another. The June 20 incident fatally injured a contractor from Specialized Professional Services, Inc. Both explosions occurred during draining of Peerless MP odorizers that had been chemically treated with sodium hypochlorite. The probable cause was reactive, unstable chemicals generated during treatment of uncharacterized liquid residues in the vessels. MRR lacked effective process safety management systems to identify and control hazards from reactive chemicals.
Recommendations:
OSHA should establish or revise standards to require companies dealing with reactive chemistry to conduct formal hazard analyses and implement robust safety management systems
EPA should strengthen Risk Management Plan (RMP) regulations to address reactive chemical hazards
Companies should avoid treating uncharacterized waste materials with sodium hypochlorite due to explosive hazard potential
Companies should conduct thorough evaluation of reactive chemistry under design and abnormal conditions
Implement formal hazard identification processes before decommissioning equipment
Install pressure relief protection on vessels containing reactive chemicals
Establish complete chemical characterization protocols before treatment operations
Performance-Influencing Factor Notes:
low
low
low
low
low
low
low
low
low",Explosion of pressurized vessel during chemical treatment and draining operations,Reactive chemical explosion,decommissioning and chemical treatment,"[""mercaptan (tert-butyl mercaptan, ethyl methyl sulfide)"", ""sodium hypochlorite"", ""natural gas"", ""aluminum"", ""methanol"", ""hydrogen gas""]","Philippi, West Virginia, USA",Midland Resource Recovery (MRR),"Two explosions occurred at Midland Resource Recovery facility in Philippi, West Virginia on May 24, 2017 and June 20, 2017. The May 24 incident killed two workers (including company founder/president) and severely injured another. The June 20 incident fatally injured a contractor from Specialized Professional Services, Inc. Both explosions occurred during draining of Peerless MP odorizers that had been chemically treated with sodium hypochlorite. The probable cause was reactive, unstable chemicals generated during treatment of uncharacterized liquid residues in the vessels. MRR lacked effective process safety management systems to identify and control hazards from reactive chemicals.","[""OSHA should establish or revise standards to require companies dealing with reactive chemistry to conduct formal hazard analyses and implement robust safety management systems"", ""EPA should strengthen Risk Management Plan (RMP) regulations to address reactive chemical hazards"", ""Companies should avoid treating uncharacterized waste materials with sodium hypochlorite due to explosive hazard potential"", ""Companies should conduct thorough evaluation of reactive chemistry under design and abnormal conditions"", ""Implement formal hazard identification processes before decommissioning equipment"", ""Install pressure relief protection on vessels containing reactive chemicals"", ""Establish complete chemical characterization protocols before treatment operations""]",null
millard-refrigerated-services-ammonia-release,"Top Event: Loss of Containment - Anhydrous Ammonia Release
Incident Type: Catastrophic piping failure due to hydraulic shock
Operating Phase: production
Materials: anhydrous ammonia
Summary: On August 23, 2010, a hydraulic shock event caused catastrophic failure of a 12-inch roof-mounted suction pipe at Millard Refrigerated Services, releasing 32,100 pounds of anhydrous ammonia. The incident was triggered by a 7-hour power outage followed by manual interruption of a defrost cycle, which bypassed the programmed bleed sequence. When the system restarted, high-pressure hot gas mixed with low-temperature liquid in the suction line, causing condensation-induced shock and vapor-propelled liquid phenomena that ruptured both the roof piping and an evaporator coil. The ammonia cloud traveled 0.25 miles across Theodore Industrial Canal, exposing 153 people including 1 Millard employee, 9 ship crew members, and 143 offsite contractors. Of those exposed, 32 were hospitalized and 4 placed in intensive care.
Recommendations:
Avoid grouping multiple large-capacity evaporators to a single set of control valves; use individual valve control groups for each evaporator
Program defrost control systems to automatically depressurize or bleed coils upon restart after power outage or interruption prior to opening suction stop valve
Avoid manual interruption of evaporators during defrost; equip control systems with password-protected controls to restrict access to trained and authorized personnel only
Ensure pump-out times are long enough to remove residual liquid refrigerant from evaporator coils prior to introducing hot gas, especially after low-load periods or power outages
In event of ammonia release that cannot be promptly isolated, activate emergency shut-down switch to de-energize pumps, compressors and valves instead of attempting to isolate leaking equipment while system is running
Performance-Influencing Factor Notes:
low
medium
low
low
medium
medium
medium
low
low
low",Loss of Containment - Anhydrous Ammonia Release,Catastrophic piping failure due to hydraulic shock,production,"[""anhydrous ammonia""]","Theodore, Alabama","Millard Refrigerated Services, Inc.","On August 23, 2010, a hydraulic shock event caused catastrophic failure of a 12-inch roof-mounted suction pipe at Millard Refrigerated Services, releasing 32,100 pounds of anhydrous ammonia. The incident was triggered by a 7-hour power outage followed by manual interruption of a defrost cycle, which bypassed the programmed bleed sequence. When the system restarted, high-pressure hot gas mixed with low-temperature liquid in the suction line, causing condensation-induced shock and vapor-propelled liquid phenomena that ruptured both the roof piping and an evaporator coil. The ammonia cloud traveled 0.25 miles across Theodore Industrial Canal, exposing 153 people including 1 Millard employee, 9 ship crew members, and 143 offsite contractors. Of those exposed, 32 were hospitalized and 4 placed in intensive care.","[""Avoid grouping multiple large-capacity evaporators to a single set of control valves; use individual valve control groups for each evaporator"", ""Program defrost control systems to automatically depressurize or bleed coils upon restart after power outage or interruption prior to opening suction stop valve"", ""Avoid manual interruption of evaporators during defrost; equip control systems with password-protected controls to restrict access to trained and authorized personnel only"", ""Ensure pump-out times are long enough to remove residual liquid refrigerant from evaporator coils prior to introducing hot gas, especially after low-load periods or power outages"", ""In event of ammonia release that cannot be promptly isolated, activate emergency shut-down switch to de-energize pumps, compressors and valves instead of attempting to isolate leaking equipment while system is running""]",null
mp-299-fmi-22-sep-2019,"Top Event: Explosion of blasting cap during testing
Incident Type: Explosion
Operating Phase: production
Materials: blasting cap, detonator
Summary: On September 22, 2019, at 06:55 hours, an Electric Line Operator (ELO) at McMoRan's Main Pass 299 A facility sustained puncture wounds to his right-hand fingers, left forearm, and left torso when a Green Detonator blasting cap exploded during continuity testing. The ELO used an incorrect testing device (megohmmeter) instead of the proper galvanometer, and did not place the blasting cap inside the safety loading tube prior to testing. The incident resulted in the ELO being transported by helicopter for medical evaluation, which determined that only first aid was required.
Recommendations:
A Safety Alert is forthcoming
Ensure proper tool selection and labeling for explosive testing equipment
Implement mandatory explosive safety training for all personnel handling explosives
Ensure blasting caps are tested inside protective shrouds
Ensure job safety analysis documents include all explosive-related hazards and tasks
Performance-Influencing Factor Notes:
medium
low
low
low
low
low
low
low
low",Explosion of blasting cap during testing,Explosion,production,"[""blasting cap"", ""detonator""]",Gulf of Mexico,McMoRan Oil & Gas LLC,"On September 22, 2019, at 06:55 hours, an Electric Line Operator (ELO) at McMoRan's Main Pass 299 A facility sustained puncture wounds to his right-hand fingers, left forearm, and left torso when a Green Detonator blasting cap exploded during continuity testing. The ELO used an incorrect testing device (megohmmeter) instead of the proper galvanometer, and did not place the blasting cap inside the safety loading tube prior to testing. The incident resulted in the ELO being transported by helicopter for medical evaluation, which determined that only first aid was required.","[""A Safety Alert is forthcoming"", ""Ensure proper tool selection and labeling for explosive testing equipment"", ""Implement mandatory explosive safety training for all personnel handling explosives"", ""Ensure blasting caps are tested inside protective shrouds"", ""Ensure job safety analysis documents include all explosive-related hazards and tasks""]",null
mp-42-l-cantium-llc-21-sept-2021,"Top Event: Fire in compressor-generator building
Incident Type: Fire
Operating Phase: production
Materials: natural gas, lube oil
Summary: On 21 September 2021 at approximately 1550 hours, an Emergency Shut Down occurred at MP 42 D/L/M facility. A leak in the ESD/TSE loop caused loss of main power and rendered both primary and secondary seal oil pumps inoperable. Combined with a liquid carryover event in the first stage suction scrubber, produced gas bypassed the wet seals and entered the lube oil tank. The overpressurized tank lid blew off, spraying lube oil and natural gas onto the hot turbine engine, causing ignition and rapid fire spread. All personnel were safely evacuated with no injuries or pollution.
Recommendations:
N/A
Performance-Influencing Factor Notes:
positive
positive
positive
negative
positive
positive",Fire in compressor-generator building,Fire,production,"[""natural gas"", ""lube oil""]",Gulf of Mexico,"Cantium, LLC","On 21 September 2021 at approximately 1550 hours, an Emergency Shut Down occurred at MP 42 D/L/M facility. A leak in the ESD/TSE loop caused loss of main power and rendered both primary and secondary seal oil pumps inoperable. Combined with a liquid carryover event in the first stage suction scrubber, produced gas bypassed the wet seals and entered the lube oil tank. The overpressurized tank lid blew off, spraying lube oil and natural gas onto the hot turbine engine, causing ignition and rapid fire spread. All personnel were safely evacuated with no injuries or pollution.",[],"{""work"": [""tools_equipment""]}"
mp140b-fieldwood-energy-09-jun-2021,"Top Event: Pipeline Leak
Incident Type: Loss of Containment
Operating Phase: production
Materials: hydrocarbons
Summary: On 09 June 2021 at 1445 hours, a mystery sheen was observed in the Main Pass 61 area and identified as a leak from MP 140 B Pipeline Segment Number 3472. The estimated sheen volume was 1.23 barrels. Fieldwood responded by isolating and bleeding down the pipeline, and a dive vessel installed a clamp on the pipeline. The leak was caused by erosion resulting in a pin hole leak.
Recommendations:
N/A
Performance-Influencing Factor Notes:
inadequate",Pipeline Leak,Loss of Containment,production,"[""hydrocarbons""]",Gulf of Mexico - Main Pass 140 Block B,Fieldwood Energy LLC,"On 09 June 2021 at 1445 hours, a mystery sheen was observed in the Main Pass 61 area and identified as a leak from MP 140 B Pipeline Segment Number 3472. The estimated sheen volume was 1.23 barrels. Fieldwood responded by isolating and bleeding down the pipeline, and a dive vessel installed a clamp on the pipeline. The leak was caused by erosion resulting in a pin hole leak.",[],null
mp204220d20cantium2027-apr-25,"Top Event: Nitrogen bottle explosion
Incident Type: explosion
Operating Phase: production
Materials: nitrogen
Summary: On 27 April 2025 at 1520 hours, a 12-bottle nitrogen rack on the top deck of MP 42 Delta platform experienced an explosion. One nitrogen bottle with corrosion at its base ruptured, causing the 'daisy-chained' tubing and isolation valves to be ripped from the remaining bottles, launching them across the platform. Four bottles went overboard into the Gulf; seven were scattered on deck. One bottle remained severely damaged in the aluminum rack. No personnel were injured. Damage included the aluminum rack, welding machine door, and section of solid decking. The bottles were at least 1 year overdue for inspection.
Recommendations:
Implement routine inspection and maintenance program for nitrogen bottles used offshore
Perform proper hazard analysis for nitrogen bottle storage and use
Inspect all nitrogen cylinders on platforms across the Gulf to identify similar deficiencies
Ensure nitrogen bottles are inspected on schedule to prevent corrosion-related failures
Performance-Influencing Factor Notes:
inadequate
inadequate
inadequate",Nitrogen bottle explosion,explosion,production,"[""nitrogen""]","Gulf of America, Main Pass Block 42","Cantium, LLC","On 27 April 2025 at 1520 hours, a 12-bottle nitrogen rack on the top deck of MP 42 Delta platform experienced an explosion. One nitrogen bottle with corrosion at its base ruptured, causing the 'daisy-chained' tubing and isolation valves to be ripped from the remaining bottles, launching them across the platform. Four bottles went overboard into the Gulf; seven were scattered on deck. One bottle remained severely damaged in the aluminum rack. No personnel were injured. Damage included the aluminum rack, welding machine door, and section of solid decking. The bottles were at least 1 year overdue for inspection.","[""Implement routine inspection and maintenance program for nitrogen bottles used offshore"", ""Perform proper hazard analysis for nitrogen bottle storage and use"", ""Inspect all nitrogen cylinders on platforms across the Gulf to identify similar deficiencies"", ""Ensure nitrogen bottles are inspected on schedule to prevent corrosion-related failures""]",null
