incident_id,incident_embed_text,top_event,incident_type,operating_phase,materials,region,operator,summary,recommendations
hi20a2037920w26t20offshore2004-sep-2023,"Top Event: Loss of Consciousness in Confined Space
Incident Type: Confined Space Entry - Near Fatality
Operating Phase: production
Materials: heater treater fluids, sludge, hydrogen sulfide, hydrocarbons
Summary: On September 4, 2023, at approximately 09:15 hours, an injured person (IP) entered the NBK-1070 Heater Treater vessel on platform HIA 379 B without a Supplied Air Respirator (SAR), wearing only an Air Purifying Respirator (APR). The IP was overcome by toxic fumes and passed out face down in the vessel fluids and sludge. A pump operator noticed the IP missing and alerted the cleaning crew supervisor. The supervisor entered without a respirator, was also overcome, and had to exit. A construction supervisor then entered without respiratory protection, extracted the IP, and CPR was administered for approximately 20 minutes before the IP began breathing. The IP was evacuated by helicopter and treated in intensive care for three days. The incident resulted from failure to follow the confined space entry plan, including no tri-gas testing, no hole watch, improper PPE, and no rescue equipment setup.",Loss of Consciousness in Confined Space,Confined Space Entry - Near Fatality,production,"[""heater treater fluids"", ""sludge"", ""hydrogen sulfide"", ""hydrocarbons""]",Gulf of Mexico - High Island Block A 379,"W & T Offshore, Inc.","On September 4, 2023, at approximately 09:15 hours, an injured person (IP) entered the NBK-1070 Heater Treater vessel on platform HIA 379 B without a Supplied Air Respirator (SAR), wearing only an Air Purifying Respirator (APR). The IP was overcome by toxic fumes and passed out face down in the vessel fluids and sludge. A pump operator noticed the IP missing and alerted the cleaning crew supervisor. The supervisor entered without a respirator, was also overcome, and had to exit. A construction supervisor then entered without respiratory protection, extracted the IP, and CPR was administered for approximately 20 minutes before the IP began breathing. The IP was evacuated by helicopter and treated in intensive care for three days. The incident resulted from failure to follow the confined space entry plan, including no tri-gas testing, no hole watch, improper PPE, and no rescue equipment setup.","[""Ensure all Subcontractors adhere to work plans"", ""Ensure all Company and Subcontracted personnel are properly trained before task/work is started"", ""Ensure accurate incident reporting is made, to include follow up reports""]"
hi20a2038220apache20crane2002-jun-2023,"Top Event: Crane boom structural damage
Incident Type: Equipment failure
Operating Phase: production
Materials: N/A
Summary: On June 2, 2023, at 12:30 hours, a crane boom contacted the boom stop at High Island A 382 F facility during crane operations. The boom was raised to too high an angle, causing the load block to swing into the crane boom and damage the heel section cords. The estimated replacement cost was $50,000. No injuries or pollution were reported. The incident was attributed to crane operator inattentiveness regarding boom angle and failure of the high angle kick out safety system.",Crane boom structural damage,Equipment failure,production,[],Gulf of Mexico,Apache Corporation,"On June 2, 2023, at 12:30 hours, a crane boom contacted the boom stop at High Island A 382 F facility during crane operations. The boom was raised to too high an angle, causing the load block to swing into the crane boom and damage the heel section cords. The estimated replacement cost was $50,000. No injuries or pollution were reported. The incident was attributed to crane operator inattentiveness regarding boom angle and failure of the high angle kick out safety system.","[""Retraining of crane operator""]"
hi469-walter-6may2019,"Top Event: Hand Injury from Falling Elevators
Incident Type: Other Injury
Operating Phase: drilling
Materials: N/A
Summary: On 6 May 2019 at 19:35 hours, a Floor Hand on the Enterprise 263 jack-up drilling rig sustained a left thumb and finger injury when four-inch elevators being installed onto bails rolled out and fell to the rig floor. Poor weather conditions, sea state, and rig elevation caused rig sway that allowed the elevators to roll out of the bails while the worker was removing a nut and bolt from the elevator ears. The worker was not wearing required impact gloves and did not have proper hand placement.",Hand Injury from Falling Elevators,Other Injury,drilling,[],Gulf of Mexico,Walter Oil & Gas Corporation,"On 6 May 2019 at 19:35 hours, a Floor Hand on the Enterprise 263 jack-up drilling rig sustained a left thumb and finger injury when four-inch elevators being installed onto bails rolled out and fell to the rig floor. Poor weather conditions, sea state, and rig elevation caused rig sway that allowed the elevators to roll out of the bails while the worker was removing a nut and bolt from the elevator ears. The worker was not wearing required impact gloves and did not have proper hand placement.",[]
hi474-panther-2oct2019,"Top Event: Injury from manual lifting of suspended basket
Incident Type: Slip/Trip/Fall - Manual Handling Injury
Operating Phase: production
Materials: high pressure hose, equipment for pigging operations
Summary: At 0955 hours on 2 October 2019, a Pipeline Technician sustained a bicep tendon tear while manually lifting a one-inch high pressure hose from a suspended 4'x4'x3' metal basket on the High Island A 474 A facility. The basket was suspended by crane approximately two to three feet off the deck and positioned half on another basket and half over the deck. The work area was congested with other baskets, bottle racks, and equipment. The injured person felt a 'pop' in his upper right arm while reaching over the top edge of the basket to retrieve items. The technician required surgical intervention.",Injury from manual lifting of suspended basket,Slip/Trip/Fall - Manual Handling Injury,production,"[""high pressure hose"", ""equipment for pigging operations""]",Gulf of Mexico,"Panther Operating Company, LLC","At 0955 hours on 2 October 2019, a Pipeline Technician sustained a bicep tendon tear while manually lifting a one-inch high pressure hose from a suspended 4'x4'x3' metal basket on the High Island A 474 A facility. The basket was suspended by crane approximately two to three feet off the deck and positioned half on another basket and half over the deck. The work area was congested with other baskets, bottle racks, and equipment. The injured person felt a 'pop' in his upper right arm while reaching over the top edge of the basket to retrieve items. The technician required surgical intervention.",[]
hi_582_cox_operating_26-may-2022,"Top Event: Loss of Containment - Pipeline Discharge
Incident Type: Equipment Failure
Operating Phase: production
Materials: crude oil, wet gas
Summary: On May 26, 2022, BSEE inspectors observed a sheen approximately 30 yards by 200 yards in Gulf of Mexico waters originating from Cox Operating's High Island A 582 C facility. Investigation determined hydrocarbons were discharging from the incoming KAQ 2700 high pressure 8-inch wet gas pipeline segment number 13380 at the plus 10 deck level. The source was identified as a one-quarter inch diameter hole in the pipe due to corrosion. An estimated total of 129.145 gallons of oil was discharged during the bleed down process. The pipeline was repaired with a clamp and returned to service on June 17, 2022.",Loss of Containment - Pipeline Discharge,Equipment Failure,production,"[""crude oil"", ""wet gas""]",Gulf of Mexico,"Cox Operating, L.L.C.","On May 26, 2022, BSEE inspectors observed a sheen approximately 30 yards by 200 yards in Gulf of Mexico waters originating from Cox Operating's High Island A 582 C facility. Investigation determined hydrocarbons were discharging from the incoming KAQ 2700 high pressure 8-inch wet gas pipeline segment number 13380 at the plus 10 deck level. The source was identified as a one-quarter inch diameter hole in the pipe due to corrosion. An estimated total of 129.145 gallons of oil was discharged during the bleed down process. The pipeline was repaired with a clamp and returned to service on June 17, 2022.","[""Improve mechanical integrity program for all equipment""]"
kc-10-chevron-08-jul-2014,"Top Event: Personnel struck by handrail extension during manual skidding operation
Incident Type: Other Injury
Operating Phase: production
Materials: N/A
Summary: Rig personnel were skidding a 13 feet 4 inch X 6 feet L-shaped handrail/extension approximately 20 feet on Port Aft production deck when one of the legs contacted a light pole causing the handrail to stop. The injured person, positioned behind the handrail pushing, was struck in the mouth by one of the legs, chipping his front teeth.",Personnel struck by handrail extension during manual skidding operation,Other Injury,production,[],Gulf of Mexico,Chevron U.S.A. Inc.,"Rig personnel were skidding a 13 feet 4 inch X 6 feet L-shaped handrail/extension approximately 20 feet on Port Aft production deck when one of the legs contacted a light pole causing the handrail to stop. The injured person, positioned behind the handrail pushing, was struck in the mouth by one of the legs, chipping his front teeth.",[]
kc-10-chevron-14-oct-2014,"Top Event: Structural failure of Billy Pugh Derrick Basket during personnel lift
Incident Type: Structural Damage
Operating Phase: production
Materials: N/A
Summary: On 14-OCT-2014 at 01:05 hours, during preventive maintenance on the Aft Pipe Racker System, a Short Service Employee was hoisted in a Billy Pugh Derrick Basket to a height of approximately 110 feet. The basket hung up on an unknown part of the derrick/PRS causing it to tilt. Despite radio communication of an 'all stop' command, the basket continued to climb 3-4 inches before stopping. A loud 'pop' was heard and the rider discovered major damage to the single main support arm and two lower arm braces had separated. The rider used the anchor line for support and called for emergency descent. When the basket reached the rig floor, the hanging arm completely separated from the basket.",Structural failure of Billy Pugh Derrick Basket during personnel lift,Structural Damage,production,[],Gulf of Mexico,Chevron U.S.A. Inc.,"On 14-OCT-2014 at 01:05 hours, during preventive maintenance on the Aft Pipe Racker System, a Short Service Employee was hoisted in a Billy Pugh Derrick Basket to a height of approximately 110 feet. The basket hung up on an unknown part of the derrick/PRS causing it to tilt. Despite radio communication of an 'all stop' command, the basket continued to climb 3-4 inches before stopping. A loud 'pop' was heard and the rider discovered major damage to the single main support arm and two lower arm braces had separated. The rider used the anchor line for support and called for emergency descent. When the basket reached the rig floor, the hanging arm completely separated from the basket.",[]
kc-147-bp-01-apr-2015,"Top Event: Loss of Containment - Casing Shoe Failure
Incident Type: Pollution - Unauthorized discharge of drilling mud
Operating Phase: drilling
Materials: Synthetic Based Drilling Mud (SBM), Nitrogen foamed cement, Seawater
Summary: On 1 April 2015, the SeaDrill West Vela drill ship under contract to BP reported a dark area identified by ROV approximately 400-500 feet from the wellhead at Well 001 (Tiber #3) in Keathley Canyon Block 147. Samples from the seafloor showed gelatinous material resembling filter cake with 2% oil content, consistent with Synthetic Based Drilling Mud used during the 16.5 inch hole section drilling. The incident resulted from a 22 inch casing shoe failure at 8630 ft md/tvd set in a salt formation. From 18-22 January 2015, approximately 500 barrels of 14.4 ppg synthetic oil base mud were discharged into offshore waters during 14 inch intermediate casing running and cementing operations. Total mud losses during casing operations reached approximately 4802 barrels.",Loss of Containment - Casing Shoe Failure,Pollution - Unauthorized discharge of drilling mud,drilling,"[""Synthetic Based Drilling Mud (SBM)"", ""Nitrogen foamed cement"", ""Seawater""]",Gulf of Mexico - Keathley Canyon Block 147,BP Exploration & Production Inc.,"On 1 April 2015, the SeaDrill West Vela drill ship under contract to BP reported a dark area identified by ROV approximately 400-500 feet from the wellhead at Well 001 (Tiber #3) in Keathley Canyon Block 147. Samples from the seafloor showed gelatinous material resembling filter cake with 2% oil content, consistent with Synthetic Based Drilling Mud used during the 16.5 inch hole section drilling. The incident resulted from a 22 inch casing shoe failure at 8630 ft md/tvd set in a salt formation. From 18-22 January 2015, approximately 500 barrels of 14.4 ppg synthetic oil base mud were discharged into offshore waters during 14 inch intermediate casing running and cementing operations. Total mud losses during casing operations reached approximately 4802 barrels.","[""Management should create a Condition of Approval (COA) by the District Operations Support (DOS) Section to place on all drilling permits requiring operators to contact the district before continuing operations when extreme losses are experienced during drilling and casing running operations in any hole section""]"
kc-770-chevron-06-jan-2016,"Top Event: Dropped drill pipe from aft pipe transfer conveyor
Incident Type: Falling object / Structural damage
Operating Phase: drilling
Materials: drill pipe
Summary: At approximately 08:10 hours on 6 January 2016, a joint of drill pipe fell from the aft pipe transfer conveyor onto the aft pipe deck of the Transocean Discoverer India drill ship during drilling operations for Chevron U.S.A. in Keathley Canyon Block 770. The drill pipe became trapped under a utility cart during loading arm operations, causing it to roll and fall over handrails, creating a 5-inch diameter hole in the aft deck. No personnel injuries occurred due to area barricading. The incident resulted from failure to follow work risk assessment procedures, inadequate safety time-outs, and lack of hazard assessment for utility cart positioning.",Dropped drill pipe from aft pipe transfer conveyor,Falling object / Structural damage,drilling,"[""drill pipe""]",Gulf of Mexico - Keathley Canyon Block 770,Chevron U.S.A. Inc.,"At approximately 08:10 hours on 6 January 2016, a joint of drill pipe fell from the aft pipe transfer conveyor onto the aft pipe deck of the Transocean Discoverer India drill ship during drilling operations for Chevron U.S.A. in Keathley Canyon Block 770. The drill pipe became trapped under a utility cart during loading arm operations, causing it to roll and fall over handrails, creating a 5-inch diameter hole in the aft deck. No personnel injuries occurred due to area barricading. The incident resulted from failure to follow work risk assessment procedures, inadequate safety time-outs, and lack of hazard assessment for utility cart positioning.","[""BSEE Lafayette District recommends that the Office of Safety Management issue a Safety Alert identifying potential hazards concerning positioning of utility carts relative to transfer conveyor loading arms that may result in falling objects""]"
kc-829-chevron-30-aug-2014,"Top Event: Loss of Containment - Synthetic Base Mud Spill
Incident Type: pollution
Operating Phase: drilling
Materials: synthetic base mud, synthetic oil
Summary: At 20:20 hours on 30 August 2014, the Transocean Discoverer Clear Leader drill ship under contract to Chevron was conducting drilling operations at Keathley Canyon Block 829 when a loss of synthetic base mud was observed from a telescopic slip joint packer failure. Approximately 12 barrels of 14.5 ppg SBM (6.12 gallons synthetic oil) was spilled into the Gulf of Mexico but was restricted to the moon pool area. Root cause was a leaking stainless steel JIC connection for the air hose at the bottom of the J-plate, with contributing factors including improper hose support, ocean currents causing vibration, and submersion of hose bundle below water line.",Loss of Containment - Synthetic Base Mud Spill,pollution,drilling,"[""synthetic base mud"", ""synthetic oil""]",Gulf of Mexico,Chevron U.S.A. Inc.,"At 20:20 hours on 30 August 2014, the Transocean Discoverer Clear Leader drill ship under contract to Chevron was conducting drilling operations at Keathley Canyon Block 829 when a loss of synthetic base mud was observed from a telescopic slip joint packer failure. Approximately 12 barrels of 14.5 ppg SBM (6.12 gallons synthetic oil) was spilled into the Gulf of Mexico but was restricted to the moon pool area. Root cause was a leaking stainless steel JIC connection for the air hose at the bottom of the J-plate, with contributing factors including improper hose support, ocean currents causing vibration, and submersion of hose bundle below water line.",[]
kc-875-anadarko-13-oct-2014,"Top Event: Pressurized fluid release striking employee
Incident Type: Loss of Containment - Trapped Pressure Release
Operating Phase: production
Materials: crude oil
Summary: On October 13, 2014 at approximately 1335 hours, an employee was injured while attempting to hydro test a pipeline on a new facility. As the crew began to unscrew cap screws to access a leaking check valve, trapped pressure downstream of check valve 1 (CV1) was released, striking the injured employee in the left side of face and head, rendering him unconscious. The incident resulted from failure to check the gauge downstream of CV1 and inadequate supervision of hydro-testing operations.",Pressurized fluid release striking employee,Loss of Containment - Trapped Pressure Release,production,"[""crude oil""]",Gulf of Mexico,Anadarko Petroleum Corporation,"On October 13, 2014 at approximately 1335 hours, an employee was injured while attempting to hydro test a pipeline on a new facility. As the crew began to unscrew cap screws to access a leaking check valve, trapped pressure downstream of check valve 1 (CV1) was released, striking the injured employee in the left side of face and head, rendering him unconscious. The incident resulted from failure to check the gauge downstream of CV1 and inadequate supervision of hydro-testing operations.",[]
kc686-7aug2019-llog-12apr2020-v2,"Top Event: Eye injury from ejected indicator rod
Incident Type: Personnel injury - eye trauma
Operating Phase: production
Materials: subsea blowout preventer equipment, hydraulic fluid
Summary: On 7 August 2019 at 04:30 hours, a Seadrill subsea technician sustained an eye injury while working on the hands-free gooseneck (HFGN) during well operations. While attempting to retract the kill line HFGN locking pins, an indicator rod was ejected by trapped air and water pressure from within the operator housing, striking the technician in the right eye. The technician was diagnosed with orbital fractures and bruising. The incident resulted from operation of out-of-compliance equipment with known defects, failure to follow OEM guidelines, creation of unsafe workaround procedures, and failure to account for trapped hydrostatic pressure.",Eye injury from ejected indicator rod,Personnel injury - eye trauma,production,"[""subsea blowout preventer equipment"", ""hydraulic fluid""]","Gulf of Mexico, Keathley Canyon Block 686","LLOG Exploration Offshore, L.L.C.","On 7 August 2019 at 04:30 hours, a Seadrill subsea technician sustained an eye injury while working on the hands-free gooseneck (HFGN) during well operations. While attempting to retract the kill line HFGN locking pins, an indicator rod was ejected by trapped air and water pressure from within the operator housing, striking the technician in the right eye. The technician was diagnosed with orbital fractures and bruising. The incident resulted from operation of out-of-compliance equipment with known defects, failure to follow OEM guidelines, creation of unsafe workaround procedures, and failure to account for trapped hydrostatic pressure.","[""BSEE recommends revising the bleed down procedures to accommodate for trapped pressure in choke and kill lines"", ""BSEE Lafayette District recommends a Safety Alert be considered to address the hazards when unlocking the hands-free gooseneck choke and kill line assemblies""]"
kc875-anadarko-21apr2018,"Top Event: Shoulder injury from manual handling
Incident Type: Slip/Trip/Fall - Lost Time Accident (>3 days)
Operating Phase: production
Materials: N/A
Summary: On April 21, 2018 at 0900 hours at platform KC 875A (Lucius), a contract employee injured his right shoulder while attempting to carry two 20 lb scaffold boards approximately 7 ft. long. The employee repositioned to avoid a cable crossing the walkway and felt his shoulder pop. Initial medical examination found no concerns and the employee was cleared to return to full duty the following day. On April 27, 2018 at 0300 hours, the employee felt his shoulder popping out of place while in his bunk and was transported to a medical facility where an MRI revealed a labrum fracture.",Shoulder injury from manual handling,Slip/Trip/Fall - Lost Time Accident (>3 days),production,[],Gulf of Mexico,Anadarko Petroleum Corporation,"On April 21, 2018 at 0900 hours at platform KC 875A (Lucius), a contract employee injured his right shoulder while attempting to carry two 20 lb scaffold boards approximately 7 ft. long. The employee repositioned to avoid a cable crossing the walkway and felt his shoulder pop. Initial medical examination found no concerns and the employee was cleared to return to full duty the following day. On April 27, 2018 at 0300 hours, the employee felt his shoulder popping out of place while in his bunk and was transported to a medical facility where an MRI revealed a labrum fracture.","[""Contract employee should have requested help with carrying the two scaffold boards to alleviate the need to reposition while carrying""]"
kc875-anadarko-26apr2019,"Top Event: Slip, Trip, Fall with Hand Injury
Incident Type: LTA (>3 days)
Operating Phase: production
Materials: drilling fluid, coil tubing
Summary: On 26 April 2019 at 03:55 hours, a Diamond Offshore Roustabout was injured on the Diamond Ocean Blackhornet drillship while rigging up a coil tubing unit. The worker tripped on a red air hose while carrying a 3-inch chiksan swing on his right shoulder. He fell to the rig floor and the chiksan swing struck his right hand, causing significant injury requiring surgery. The worker was evacuated for medical treatment.","Slip, Trip, Fall with Hand Injury",LTA (>3 days),production,"[""drilling fluid"", ""coil tubing""]",Gulf of Mexico - Keathley Canyon Block 875,Anadarko Petroleum Corporation,"On 26 April 2019 at 03:55 hours, a Diamond Offshore Roustabout was injured on the Diamond Ocean Blackhornet drillship while rigging up a coil tubing unit. The worker tripped on a red air hose while carrying a 3-inch chiksan swing on his right shoulder. He fell to the rig floor and the chiksan swing struck his right hand, causing significant injury requiring surgery. The worker was evacuated for medical treatment.",[]
kc875-anadarko-28may2019,"Top Event: Electrical fire in drilling switchboard room
Incident Type: Fire
Operating Phase: drilling
Materials: electrical equipment, wellbore fluid
Summary: On 28 May 2019 at 21:00 hours, smoke detectors activated in the Starboard 690V Drilling Switchboard Room aboard the Diamond Offshore Ocean Blackhornet drillship. An electrical fire occurred in the Aux Drawworks B (ADWB) motor drive cabinet, causing severe damage to two Inverter Modules and two Variable Frequency Drives. The general alarm was activated and all personnel reported to muster stations. No injuries were reported. The assessed damage was approximately $180,000. The root cause could not be definitively determined, but possible causes included a faulty Inverter Module, cooling water leakage, or improperly torqued DC fuses.",Electrical fire in drilling switchboard room,Fire,drilling,"[""electrical equipment"", ""wellbore fluid""]",Gulf of Mexico - Keathley Canyon Block 875,Anadarko Petroleum Corporation,"On 28 May 2019 at 21:00 hours, smoke detectors activated in the Starboard 690V Drilling Switchboard Room aboard the Diamond Offshore Ocean Blackhornet drillship. An electrical fire occurred in the Aux Drawworks B (ADWB) motor drive cabinet, causing severe damage to two Inverter Modules and two Variable Frequency Drives. The general alarm was activated and all personnel reported to muster stations. No injuries were reported. The assessed damage was approximately $180,000. The root cause could not be definitively determined, but possible causes included a faulty Inverter Module, cooling water leakage, or improperly torqued DC fuses.","[""Further failure analysis testing of ADWB equipment required to identify exact fault origin"", ""Two Inverter Modules should be sent for thorough failure analysis""]"
kc918-anadarko-16nov2018,"Top Event: Facial injury from pressurized hydraulic line strike
Incident Type: Other Injury
Operating Phase: production
Materials: N/A
Summary: On 16 November 2018 at 1530 hours, a Diamond Offshore hydraulic mechanic sustained a facial injury while changing out a Hilman roller on the blowout preventer carrier frame aboard the Diamond Ocean Blackhawk drillship. During the operation, a 30-ton Enerpac hydraulic jack fell due to miscommunication between the hydraulic mechanic and rig mechanic operating the hydraulic pump. The falling jack sheared the hydraulic line fitting on an adjacent 25-ton Enerpac hydraulic jack, causing the pressurized hydraulic line to strike the mechanic's face. The mechanic was evacuated by helicopter and received medical treatment for facial lacerations.",Facial injury from pressurized hydraulic line strike,Other Injury,production,[],Gulf of Mexico,Anadarko Petroleum Corporation,"On 16 November 2018 at 1530 hours, a Diamond Offshore hydraulic mechanic sustained a facial injury while changing out a Hilman roller on the blowout preventer carrier frame aboard the Diamond Ocean Blackhawk drillship. During the operation, a 30-ton Enerpac hydraulic jack fell due to miscommunication between the hydraulic mechanic and rig mechanic operating the hydraulic pump. The falling jack sheared the hydraulic line fitting on an adjacent 25-ton Enerpac hydraulic jack, causing the pressurized hydraulic line to strike the mechanic's face. The mechanic was evacuated by helicopter and received medical treatment for facial lacerations.","[""Install a rigid support system when lifting heavy equipment""]"
mc-109-14feb19,"Top Event: Explosion
Incident Type: Equipment Failure / Explosion
Operating Phase: production
Materials: natural gas, crude oil
Summary: An explosion occurred on 14 February 2019 at 0115 on the Mississippi Canyon 109 A (Amberjack) Platform. The explosion originated from a 12 Volt battery located inside a Remote Terminal Unit (RTU) Panel used for gas sales measurement and communication. A rechargeable battery had been overcharged due to improper replacement and installation in a non-vented enclosure, causing hydrogen gas accumulation and ignition of electrical components. The panel door was blown off and debris landed 45 feet away. No injuries or pollution occurred. The root cause was flawed equipment design and installation of non-rated electrical components in a hazardous area, compounded by inadequate personnel training on battery hydrogen venting and lack of hazard analysis during design changes.",Explosion,Equipment Failure / Explosion,production,"[""natural gas"", ""crude oil""]",Gulf of Mexico - Mississippi Canyon Block 109,Talos Petroleum LLC,"An explosion occurred on 14 February 2019 at 0115 on the Mississippi Canyon 109 A (Amberjack) Platform. The explosion originated from a 12 Volt battery located inside a Remote Terminal Unit (RTU) Panel used for gas sales measurement and communication. A rechargeable battery had been overcharged due to improper replacement and installation in a non-vented enclosure, causing hydrogen gas accumulation and ignition of electrical components. The panel door was blown off and debris landed 45 feet away. No injuries or pollution occurred. The root cause was flawed equipment design and installation of non-rated electrical components in a hazardous area, compounded by inadequate personnel training on battery hydrogen venting and lack of hazard analysis during design changes.","[""The New Orleans District recommends that the Office of Incident Investigations considers drafting a Safety Alert regarding electrical components and hazardous areas""]"
mc-126-freeport-mcmoran-02-jul-2015,"Top Event: Loss of Containment - Overboard Discharge of Synthetic Based Mud
Incident Type: pollution
Operating Phase: production
Materials: Synthetic Based Mud (SBM), seawater
Summary: On 02 July 2015 at 0400 hours, the Rowan Relentless drill ship inadvertently discharged 368 barrels of Synthetic Based Mud (SBM) containing 67 percent synthetic oil into Gulf of Mexico waters. The discharge occurred when the Derrick Man, without verifying valve alignment, pumped displacement seawater overboard from pits #12 and #14. A manually operated splitter valve separating reserve pit #1 from these pits was left halfway open, allowing SBM to flow into the overboard discharge line. Root causes included poor communication between parties, failure to verify valve alignment prior to pumping, and lack of awareness of company policy regarding sensitive valve lockout procedures.",Loss of Containment - Overboard Discharge of Synthetic Based Mud,pollution,production,"[""Synthetic Based Mud (SBM)"", ""seawater""]",Gulf of Mexico,Freeport-McMoRan Oil & Gas LLC,"On 02 July 2015 at 0400 hours, the Rowan Relentless drill ship inadvertently discharged 368 barrels of Synthetic Based Mud (SBM) containing 67 percent synthetic oil into Gulf of Mexico waters. The discharge occurred when the Derrick Man, without verifying valve alignment, pumped displacement seawater overboard from pits #12 and #14. A manually operated splitter valve separating reserve pit #1 from these pits was left halfway open, allowing SBM to flow into the overboard discharge line. Root causes included poor communication between parties, failure to verify valve alignment prior to pumping, and lack of awareness of company policy regarding sensitive valve lockout procedures.",[]
mc-129-freeport-mcmoran-18-aug-2015,"Top Event: Fractured leg from uncontrolled chain fall hook
Incident Type: Slip/Trip/Fall with Lifting Device Failure
Operating Phase: production
Materials: N/A
Summary: On 18-Aug-2015 at approximately 12:45 p.m. onboard the drillship Rowan Relentless, a third party employee sustained a fractured right fibula when a chain fall hook came free from a cuttings box lid and fell uncontrolled onto the injured person's right leg. The incident occurred while the employee was attempting to close a drill cuttings box lid in preparation for helicopter arrival. The chain fall hook lacked a safety clevis (clip), and the employee was working without supervision or assistance.",Fractured leg from uncontrolled chain fall hook,Slip/Trip/Fall with Lifting Device Failure,production,[],Gulf of Mexico,Freeport-McMoRan Oil & Gas LLC,"On 18-Aug-2015 at approximately 12:45 p.m. onboard the drillship Rowan Relentless, a third party employee sustained a fractured right fibula when a chain fall hook came free from a cuttings box lid and fell uncontrolled onto the injured person's right leg. The incident occurred while the employee was attempting to close a drill cuttings box lid in preparation for helicopter arrival. The chain fall hook lacked a safety clevis (clip), and the employee was working without supervision or assistance.",[]
mc-194-enven-20-jan-2020,"Top Event: Dropped Object
Incident Type: Dropped casing joint from elevators
Operating Phase: drilling
Materials: 10.75 inch casing
Summary: On January 20, 2020 at 10:00 hours, a joint of 10.75 inch casing fell out of the elevators into the V-Door while the Nabors 202 drill crew was running casing into the well at Mississippi Canyon 194. The elevators contacted the derrick A-frame, compromising their integrity and causing the casing joint to be dislodged. The falling casing struck another joint in the V-Door, causing it to slide out onto the walkway and pipe rack. One employee sustained a minor injury when tripping while moving away from the area. Damage included two sections of handrail and one tote tank totaling $2,675.",Dropped Object,Dropped casing joint from elevators,drilling,"[""10.75 inch casing""]",Gulf of Mexico,"EnVen Energy Ventures, LLC","On January 20, 2020 at 10:00 hours, a joint of 10.75 inch casing fell out of the elevators into the V-Door while the Nabors 202 drill crew was running casing into the well at Mississippi Canyon 194. The elevators contacted the derrick A-frame, compromising their integrity and causing the casing joint to be dislodged. The falling casing struck another joint in the V-Door, causing it to slide out onto the walkway and pipe rack. One employee sustained a minor injury when tripping while moving away from the area. Damage included two sections of handrail and one tote tank totaling $2,675.",[]
mc-199-01apr2019,"Top Event: Loss of Containment - Overboard Discharge of Drilling Fluid
Incident Type: pollution
Operating Phase: drilling
Materials: Synthetic Oil-Based Mud (SBM)
Summary: At approximately 0055 hrs on 1 April 2019, LLOG Exploration Offshore LLC experienced a spill of 61 barrels of Synthetic Oil-Based Mud (SBM) on the Seadrill West Neptune Drillship during drilling operations at Mississippi Canyon Block 199. The spill resulted from a misalignment of trip tank valve positions. While the Derrickman was transferring mud between trip tanks per driller request, the master dump valve for the Trip Tanks was found to be locked in the open position, allowing 61 bbls of SBM to flow into the overboard discharge line into the Gulf of Mexico. The pit cleaning crew had possibly locked open the master dump valve during cleaning operations and never returned it to its normally closed and locked position. Total pollution was 37.8 bbls (61 bbls at 62% synthetic make-up).",Loss of Containment - Overboard Discharge of Drilling Fluid,pollution,drilling,"[""Synthetic Oil-Based Mud (SBM)""]",Gulf of Mexico,"LLOG Exploration Offshore, L.L.C.","At approximately 0055 hrs on 1 April 2019, LLOG Exploration Offshore LLC experienced a spill of 61 barrels of Synthetic Oil-Based Mud (SBM) on the Seadrill West Neptune Drillship during drilling operations at Mississippi Canyon Block 199. The spill resulted from a misalignment of trip tank valve positions. While the Derrickman was transferring mud between trip tanks per driller request, the master dump valve for the Trip Tanks was found to be locked in the open position, allowing 61 bbls of SBM to flow into the overboard discharge line into the Gulf of Mexico. The pit cleaning crew had possibly locked open the master dump valve during cleaning operations and never returned it to its normally closed and locked position. Total pollution was 37.8 bbls (61 bbls at 62% synthetic make-up).",[]
